t1,t2,P1,P2,Nexp,Npump,W_mec,X,eta_v,eta_is_r,rp
139,139,5.79522765,2.1336049,1351.3,418,676.25956277013,0.813985927777159,0.468781762138015,0.482817944566896,2.71616720134079
192,266,5.8204365375,2.1740719125,1351.2375,478.25,651.397441398849,0.738127353750745,0.446951879237397,0.453875573378078,2.67721823823328
313,313,5.9233235,2.19641795,1351.3,569,640.034201451395,0.652391400865182,0.423614279813577,0.418796674813674,2.6968107322197
545,692,5.72265675,2.122331425,1351.2625,388.75,684.56962068354,0.833867355485845,0.484621580615198,0.515267281605138,2.69638336371413
795,912,5.76047146666667,1.94934899166667,1351.075,388.5,752.108224902813,0.840585760276041,0.483354875879118,0.51002309386135,2.95472151314142
968,988,5.72469105,2.202532625,1350.925,388.5,656.422884131686,0.833440442039553,0.483523681246783,0.512859508783093,2.59911472189001
1008,1008,5.69116505,2.28729,1351.1,389,624.923697863345,0.828273193472372,0.483879345050371,0.517412812665174,2.48816942757587
1028,1055,5.7547665,2.4750372,1350.925,388.5,575.384767638338,0.836758744511334,0.48426272301094,0.510962182815958,2.32506971537899
1092,1092,5.7003318,2.2234206,1534.25,388,724.625217991093,0.849958965086317,0.53961670425243,0.566292595158161,2.56376674750607
1143,1183,5.597848425,2.038931675,1650.525,298.5,840.08677859569,0.944572794933551,0.669155207747516,0.710351244510364,2.74548488220278
1263,1302,5.693396675,2.09318265,1650.325,419,780.984763046459,0.838578220269694,0.546443425051657,0.540062682259081,2.71997032070221
1366,1366,5.8228657,2.1322511,1650.5,479,787.514102645121,0.780870946676252,0.517293590863453,0.506128579670549,2.73085365039793
1386,1386,5.7895628,2.13062945,1650.45,493,785.602808575986,0.77743607845206,0.516584211294056,0.510195889859186,2.71730159366754
1431,1548,5.785219725,2.1477720625,1650.3625,523.25,764.485560610103,0.726587511901312,0.50447155532521,0.493346828902624,2.69359522598322
1583,1583,5.5972992,2.13016825,2100.1,449,821.178229716413,0.841216249203317,0.63660319112291,0.54968938154023,2.62763244170971
1603,1603,5.61738385,2.1436324,2094.1,448,842.606215503915,0.843979834667871,0.633007548317633,0.562063021060179,2.62049773552592
1623,1653,5.668436725,2.13475795,1950.8,449,833.633704292322,0.838831702497407,0.599993580085924,0.552653598922561,2.65532219473989
1692,1692,5.6928817,2.0977798,1800.35,449,812.424692342102,0.823484985813268,0.565992690054338,0.535790259253137,2.7137651435103
1712,1712,5.7022889,2.1075989,1748.1,448,805.42474923512,0.819679744310876,0.552801075992617,0.536233462664381,2.70558544132852
1747,1747,5.71138705,2.0996098,1650.5,449,774.614442199836,0.803315724635964,0.53287277362577,0.522464288248006,2.72021356063398
1767,1767,5.7493247,2.08230725,1551.8,448,777.392218124337,0.800774241541722,0.505459803666491,0.517835333097064,2.76103572131346
1821,1866,5.80054928333333,2.08498506666667,1500.91666666667,448.666666666667,771.502156088072,0.799026998245188,0.495203251393373,0.512254912083907,2.78206828938283
1886,1886,5.80137345,2.0782605,1350.8,449,717.424333687741,0.778743176036512,0.456750710100546,0.487204123118231,2.79145634053094
1906,1906,5.8102311,2.0682776,1200.9,448,642.775655348428,0.753083734215203,0.419341336539543,0.448886036344484,2.80921240939804
1926,1926,5.88311975,2.03995085,1155.95,448,654.486059276634,0.758624180728288,0.405924430992161,0.440350019921592,2.88395171383664
1946,1946,5.9685397,1.99252125,901.5,448,551.534673565601,0.708445366111432,0.344350166842353,0.385561962882316,2.9954710395184
295,315,5.943133475,2.13033185,810.15,223.5,503.507784428065,0.965028157784345,0.492942894158057,0.577759635350818,2.78973099352183
335,335,5.88054465,2.0673106,810,282,500.852249145872,0.918925800084879,0.455193231843204,0.539436953894115,2.84453852749558
435,435,5.74218355,2.0583394,810.15,314,463.043696784769,0.821883863225106,0.405945589748687,0.467269304937877,2.78971657929688
455,475,5.85829705,2.092037075,810.175,344,469.790638224059,0.804520580014041,0.390036397114211,0.445639587295392,2.8002024448983
515,655,5.8403324375,2.033254025,810.05625,418.5,474.995456959178,0.695708792424994,0.363691186813645,0.417489152823885,2.87195885930059
695,835,5.86198788125,2.0894204875,810,523.5,455.2595444141,0.591604574715297,0.34461697875286,0.395973214387019,2.80510981134197
883,940,5.75856031666667,2.06932403333333,960.983333333333,283.333333333333,491.981873691499,0.884961105139122,0.499453102111648,0.511937784245613,2.78224504661144
960,1245,5.77112611333333,2.03116512,961.043333333333,328.133333333333,516.805524224784,0.841510128798614,0.45517549602268,0.481360247875968,2.84084609407858
1265,1345,5.74096819,2.07055992,961.02,373,504.007753066562,0.781950097532721,0.430732067248826,0.460921499725313,2.77281642638428
1365,1424,5.74664685,2.117001625,960.975,418.5,495.779549614214,0.745173302221003,0.416906874965036,0.451687802935334,2.71415510459995
1529,1641,5.78499656666667,2.02974976666667,961.1,463,517.725430614754,0.697267509539204,0.397466821560403,0.426796823282971,2.85008839544995
1740,1740,5.81366445,2.0718779,961,493,510.576042024555,0.664659323329426,0.389247674132026,0.419908463816554,2.80598796386602
1769,1833,5.74677271666667,2.0038133,961.133333333333,508,511.95616547455,0.639328398409901,0.388238737735864,0.417007347555056,2.86781294290289
1998,1998,5.7086748,1.9908846,1170.8,284,664.228095656544,0.919266693367366,0.580883086714989,0.643963892581881,2.86740617713352
2113,2133,5.82058245,2.05839145,1170.725,328,653.798767764951,0.885147669470804,0.527257656463081,0.574357795790576,2.8277251517984
2198,2198,5.67949185,1.97806015,1170.65,373,632.468171796988,0.811703805194227,0.497474319436511,0.532999203316414,2.87124324808828
2249,2355,5.72345848,2.02845043,1170.65,418,623.141293587666,0.783596718041796,0.473716925917114,0.507574152076278,2.82120753752041
2436,2542,5.753255875,2.0013547625,1170.6,463.5,626.425338351479,0.720185810690233,0.450923913942744,0.478043924873284,2.8738708594307
2608,2643,5.721652525,2.079101125,1170.325,493.5,589.969968415834,0.683922448276221,0.44513802238175,0.470994928351252,2.75204853996822
2680,2754,5.82549783333333,2.01557143333333,1170.66666666667,523,631.644834594844,0.685301380862032,0.43691226359285,0.461680561552387,2.89003938771624
